Segment,Weight,Length,CoG,
Head,0.0668,0.175,0.4841,
Trunk,0.4258,0.31,0.3782,
UpperArm,0.0255,0.193,0.5754,
Forearm,0.0138,0.152,0.4559,
Hand,0.0056,0.11,0.7474,
Thigh,0.1478,0.242,0.3612,
Shank,0.0481,0.2354,0.4352,
Foot,0.0129,0.0466,0.4014,
