Segment,Weight,Length,CoG,
Head,0.0681,0.178,0.4922,
Trunk,0.4302,0.2995,0.4046,
UpperArm,0.0263,0.191,0.5763,
Forearm,0.015,0.1485,0.4567,
Hand,0.00585,0.119,0.7687,
Thigh,0.1447,0.2435,0.3854,
Shank,0.0457,0.2357,0.43.74,
Foot,0.0133,0.0478,0.4215,
